Id,UserId,Date,OriginalDescription,ModifiedDescription,Amount,Currency,CategoryId
28,3,2024-08-12,TRANSFER FROM FRIEND ;,Gift from Friend,100.00,AUD,gifts-and-charity
29,3,2024-08-13,BIG W SYDNEY ;,,-40.00,AUD,clothing-and-accessories
30,3,2024-08-14,DAN MURPHY'S BRISBANE ;,,-60.00,AUD,booze
31,1,2024-08-15,WOOLWORTHS 9999 BRISBANE ;,,-60.00,AUD,groceries
32,1,2024-08-16,CITY OF SYDNEY PARKING ;,,-25.00,AUD,parking
33,1,2024-08-17,TRANSFER TO CREDIT CARD ;,,-150.00,AUD,transfer
34,1,2024-08-18,TELSTRA BILL PAYMENT ;,,-70.00,AUD,utilities
35,2,2024-08-15,WESTFIELD SHOPPING CENTRE PERTH ;,,-200.00,AUD,clothing-and-accessories
36,2,2024-08-16,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,600.00,AUD,direct-credit
37,2,2024-08-17,TRANSFER TO CREDIT CARD ;,,-250.00,AUD,transfer
38,2,2024-08-18,SUBWAY FRANCHISE ADELAIDE ;,,-15.00,AUD,restaurants-and-cafes
39,3,2024-08-17,BOQ HOME LOAN PAYMENT ;,,-1200.00,AUD,transfer
40,3,2024-08-19,TRANSFER FROM INVESTMENT ACCOUNT ;,,500.00,AUD,direct-credit
41,3,2024-08-20,TRANSFER TO SAVINGS ACCOUNT ;,,-200.00,AUD,transfer
42,3,2024-08-21,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1500.00,AUD,direct-credit
43,1,2024-08-22,AUSSIE HOME LOANS SYDNEY ;,,-900.00,AUD,rent-and-mortgage
44,1,2024-08-23,BOOST JUICE BRISBANE ;,,-8.00,AUD,restaurants-and-cafes
45,2,2024-08-21,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1000.00,AUD,direct-credit
46,2,2024-08-22,BUNNINGS WAREHOUSE PERTH ;,,-60.00,AUD,home-maintenance-and-improvements
47,3,2024-08-23,COLES SUPERMARKET MELBOURNE ;,Groceries,-120.00,AUD,groceries
48,3,2024-08-24,KOGAN.COM SYDNEY ;,,-250.00,AUD,technology
49,1,2024-08-25,TRANSFER TO FRIEND ;,,-150.00,AUD,transfer
50,1,2024-08-26,MELBOURNE ZOO MELBOURNE ;,Tickets,-60.00,AUD,restaurants-and-cafes
51,2,2024-08-24,TRANSFER TO FAMILY ;,,-200.00,AUD,transfer
52,2,2024-08-25,TRANSFER TO SUPERANNUATION ;,,-500.00,AUD,transfer
53,3,2024-08-26,TRANSFER FROM SAVINGS ;,,300.00,AUD,direct-credit
54,3,2024-08-27,MEDIBANK PRIVATE SYDNEY ;,,-100.00,AUD,health-and-medical
55,1,2024-08-28,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.00,AUD,direct-credit
56,1,2024-08-29,REFUND FROM AMAZON ;,Returned Item Refund,150.00,AUD,gifts-and-charity
57,1,2024-08-30,PAYMENT RECEIVED FROM EMPLOYER ;,Bonus,500.00,AUD,direct-credit
58,1,2024-08-31,REFUND FROM WOOLWORTHS ;,Groceries Refund,20.00,AUD,groceries
59,2,2024-08-28,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3300.00,AUD,direct-credit
60,2,2024-08-29,REFUND FROM APPLE ;,App Refund,10.00,AUD,games-and-software
61,2,2024-08-30,PAYMENT RECEIVED FROM EMPLOYER ;,Performance Bonus,700.00,AUD,direct-credit
62,2,2024-08-31,REFUND FROM BP ;,Fuel Refund,30.00,AUD,fuel
63,3,2024-08-28,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3100.00,AUD,direct-credit
64,3,2024-08-29,REFUND FROM BIG W ;,Clothing Refund,50.00,AUD,clothing-and-accessories
65,3,2024-08-30,PAYMENT RECEIVED FROM EMPLOYER ;,Overtime Payment,400.00,AUD,direct-credit
66,3,2024-08-31,REFUND FROM JB HI-FI ;,Technology Refund,100.00,AUD,technology
67,1,2024-09-01,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3250.00,AUD,direct-credit
68,1,2024-09-02,REFUND FROM NETFLIX ;,Subscription Refund,15.99,AUD,tv-and-music
69,2,2024-09-01,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3400.00,AUD,direct-credit
70,2,2024-09-02,REFUND FROM SHELL ;,Fuel Refund,25.00,AUD,fuel
71,3,2024-09-01,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.00,AUD,direct-credit
72,3,2024-09-02,REFUND FROM COLES ;,Groceries Refund,15.00,AUD,groceries
73,1,2024-09-03,UBER *RIDES BRISBANE ;,Uber Rides,-25.50,AUD,transport
74,1,2024-09-04,WOOLWORTHS 1234 SYDNEY ;,Woolworths Groceries,-180.00,AUD,groceries
75,1,2024-09-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3000.00,AUD,direct-credit
76,1,2024-09-07,TRANSFER TO SAVINGS ACCOUNT ;,,-600.00,AUD,transfer
77,1,2024-09-08,AMAZON AU SYDNEY ;,,-220.00,AUD,technology
78,1,2024-09-09,BUNNINGS WAREHOUSE BRISBANE ;,,-90.00,AUD,home-maintenance-and-improvements
79,1,2024-09-10,BOOST JUICE BRISBANE ;,,-9.50,AUD,restaurants-and-cafes
80,1,2024-09-11,TELSTRA BILL PAYMENT ;,,-85.00,AUD,utilities
81,1,2024-09-12,TRANSFER TO CREDIT CARD ;,,-200.00,AUD,transfer
82,1,2024-09-13,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.00,AUD,direct-credit
83,1,2024-09-14,MYER DEPARTMENT STORE SYDNEY ;,,-300.00,AUD,clothing-and-accessories
84,1,2024-09-15,UBER *EATS SYDNEY ;,,-55.00,AUD,restaurants-and-cafes
85,1,2024-09-16,FLIGHT CENTRE SYDNEY ;,Flights to Sydney,-480.00,AUD,holidays-and-travel
86,2,2024-09-03,BP SERVICE STATION PERTH ;,,-80.00,AUD,fuel
87,2,2024-09-04,WOOLWORTHS 5678 PERTH ;,,-220.00,AUD,groceries
88,2,2024-09-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3400.00,AUD,direct-credit
89,2,2024-09-07,TRANSFER TO SAVINGS ACCOUNT ;,,-900.00,AUD,transfer
90,2,2024-09-08,APPLE.COM SYDNEY ;,,-99.99,AUD,games-and-software
91,2,2024-09-09,REBEL SPORT BRISBANE ;,,-130.00,AUD,fitness-and-wellbeing
92,2,2024-09-10,OPTUS BILL PAYMENT ;,,-50.00,AUD,mobile-phone
93,2,2024-09-11,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,800.00,AUD,direct-credit
94,2,2024-09-12,TRANSFER TO CREDIT CARD ;,,-300.00,AUD,transfer
95,2,2024-09-13,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3300.00,AUD,direct-credit
96,2,2024-09-14,BUNNINGS WAREHOUSE PERTH ;,,-75.00,AUD,home-maintenance-and-improvements
97,2,2024-09-15,SUBWAY FRANCHISE ADELAIDE ;,,-20.00,AUD,restaurants-and-cafes
98,2,2024-09-16,WESTFIELD SHOPPING CENTRE PERTH ;,,-250.00,AUD,clothing-and-accessories
99,3,2024-09-03,UBER *RIDES SYDNEY ;,Uber Rides,-35.00,AUD,transport
100,3,2024-09-04,COLES SUPERMARKET ADELAIDE ;,Groceries,-190.00,AUD,groceries
101,3,2024-09-06,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3100.00,AUD,direct-credit
102,3,2024-09-07,TRANSFER TO MORTGAGE ACCOUNT ;,,-1200.00,AUD,transfer
103,3,2024-09-08,JB HI-FI MELBOURNE ;,,-550.00,AUD,technology
104,3,2024-09-09,DAN MURPHY'S BRISBANE ;,,-80.00,AUD,booze
105,3,2024-09-10,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,tv-and-music
106,3,2024-09-11,HARVEY NORMAN PERTH ;,,-350.00,AUD,homeware-and-appliances
107,3,2024-09-12,TRANSFER TO CREDIT CARD ;,,-250.00,AUD,transfer
108,3,2024-09-13,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1700.00,AUD,direct-credit
109,3,2024-09-14,BOOST JUICE BRISBANE ;,,-10.00,AUD,restaurants-and-cafes
110,3,2024-09-15,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.00,AUD,direct-credit
111,3,2024-09-16,BOQ HOME LOAN PAYMENT ;,,-1300.00,AUD,transfer
