Id,UserId,Date,OriginalDescription,ModifiedDescription,Amount,Currency,CategoryId
44,1,2024-10-30,BOOST JUICE BRISBANE ;,,-8.0,AUD,restaurants-and-cafes
45,2,2024-10-28,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1000.0,AUD,direct-credit
46,2,2024-10-29,BUNNINGS WAREHOUSE PERTH ;,,-60.0,AUD,home-maintenance-and-improvements
47,3,2024-10-30,COLES SUPERMARKET MELBOURNE ;,Groceries,-120.0,AUD,groceries
48,3,2024-10-31,KOGAN.COM SYDNEY ;,,-250.0,AUD,technology
49,1,2024-11-01,TRANSFER TO FRIEND ;,,-150.0,AUD,transfer
50,1,2024-11-02,MELBOURNE ZOO MELBOURNE ;,Tickets,-60.0,AUD,restaurants-and-cafes
51,2,2024-10-31,TRANSFER TO FAMILY ;,,-200.0,AUD,transfer
52,2,2024-11-01,TRANSFER TO SUPERANNUATION ;,,-500.0,AUD,transfer
53,3,2024-11-02,TRANSFER FROM SAVINGS ;,,300.0,AUD,direct-credit
54,3,2024-11-03,MEDIBANK PRIVATE SYDNEY ;,,-100.0,AUD,health-and-medical
55,1,2024-11-04,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.0,AUD,direct-credit
56,1,2024-11-05,REFUND FROM AMAZON ;,Returned Item Refund,150.0,AUD,gifts-and-charity
57,1,2024-11-06,PAYMENT RECEIVED FROM EMPLOYER ;,Bonus,500.0,AUD,direct-credit
58,1,2024-11-07,REFUND FROM WOOLWORTHS ;,Groceries Refund,20.0,AUD,groceries
59,2,2024-11-04,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3300.0,AUD,direct-credit
60,2,2024-11-05,REFUND FROM APPLE ;,App Refund,10.0,AUD,games-and-software
61,2,2024-11-06,PAYMENT RECEIVED FROM EMPLOYER ;,Performance Bonus,700.0,AUD,direct-credit
62,2,2024-11-07,REFUND FROM BP ;,Fuel Refund,30.0,AUD,none
63,3,2024-11-04,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3100.0,AUD,direct-credit
64,3,2024-11-05,REFUND FROM BIG W ;,Clothing Refund,50.0,AUD,clothing-and-accessories
65,3,2024-11-06,PAYMENT RECEIVED FROM EMPLOYER ;,Overtime Payment,400.0,AUD,direct-credit
66,3,2024-11-07,REFUND FROM JB HI-FI ;,Technology Refund,100.0,AUD,technology
67,1,2024-11-08,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3250.0,AUD,direct-credit
68,1,2024-11-09,REFUND FROM NETFLIX ;,Subscription Refund,15.99,AUD,tv-and-music
69,2,2024-11-08,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3400.0,AUD,direct-credit
70,2,2024-11-09,REFUND FROM SHELL ;,Fuel Refund,25.0,AUD,fuel
71,3,2024-11-08,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.0,AUD,direct-credit
72,3,2024-11-09,REFUND FROM COLES ;,Groceries Refund,15.0,AUD,groceries
73,1,2024-11-10,UBER *RIDES BRISBANE ;,Uber Rides,-25.5,AUD,transport
74,1,2024-11-11,WOOLWORTHS 1234 SYDNEY ;,Woolworths Groceries,-180.0,AUD,groceries
75,1,2024-11-13,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3000.0,AUD,direct-credit
76,1,2024-11-14,TRANSFER TO SAVINGS ACCOUNT ;,,-600.0,AUD,transfer
77,1,2024-11-15,AMAZON AU SYDNEY ;,,-220.0,AUD,technology
78,1,2024-11-16,BUNNINGS WAREHOUSE BRISBANE ;,,-90.0,AUD,home-maintenance-and-improvements
79,1,2024-11-17,BOOST JUICE BRISBANE ;,,-9.5,AUD,restaurants-and-cafes
80,1,2024-11-18,TELSTRA BILL PAYMENT ;,,-85.0,AUD,utilities
81,1,2024-11-19,TRANSFER TO CREDIT CARD ;,,-200.0,AUD,transfer
82,1,2024-11-20,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.0,AUD,direct-credit
83,1,2024-11-21,MYER DEPARTMENT STORE SYDNEY ;,,-300.0,AUD,clothing-and-accessories
84,1,2024-11-22,UBER *EATS SYDNEY ;,,-55.0,AUD,restaurants-and-cafes
85,1,2024-11-23,FLIGHT CENTRE SYDNEY ;,Flights to Sydney,-480.0,AUD,holidays-and-travel
86,2,2024-11-10,BP SERVICE STATION PERTH ;,,-80.0,AUD,fuel
87,2,2024-11-11,WOOLWORTHS 5678 PERTH ;,,-220.0,AUD,groceries
88,2,2024-11-13,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3400.0,AUD,direct-credit
89,2,2024-11-14,TRANSFER TO SAVINGS ACCOUNT ;,,-900.0,AUD,transfer
90,2,2024-11-15,APPLE.COM SYDNEY ;,,-99.99,AUD,games-and-software
91,2,2024-11-16,REBEL SPORT BRISBANE ;,,-130.0,AUD,fitness-and-wellbeing
92,2,2024-11-17,OPTUS BILL PAYMENT ;,,-50.0,AUD,mobile-phone
93,2,2024-11-18,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,800.0,AUD,direct-credit
94,2,2024-11-19,TRANSFER TO CREDIT CARD ;,,-300.0,AUD,transfer
95,2,2024-11-20,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3300.0,AUD,direct-credit
96,2,2024-11-21,BUNNINGS WAREHOUSE PERTH ;,,-75.0,AUD,home-maintenance-and-improvements
97,2,2024-11-22,SUBWAY FRANCHISE ADELAIDE ;,,-20.0,AUD,restaurants-and-cafes
98,2,2024-11-23,WESTFIELD SHOPPING CENTRE PERTH ;,,-250.0,AUD,clothing-and-accessories
99,3,2024-11-10,UBER *RIDES SYDNEY ;,Uber Rides,-35.0,AUD,transport
100,3,2024-11-11,COLES SUPERMARKET ADELAIDE ;,Groceries,-190.0,AUD,groceries
101,3,2024-11-13,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3100.0,AUD,direct-credit
102,3,2024-11-14,TRANSFER TO MORTGAGE ACCOUNT ;,,-1200.0,AUD,transfer
103,3,2024-11-15,JB HI-FI MELBOURNE ;,,-550.0,AUD,none
104,3,2024-11-16,DAN MURPHY'S BRISBANE ;,,-80.0,AUD,pubs-bars-and-alcohol
105,3,2024-11-17,NETFLIX.COM 800-123-4567 ;,,-15.99,AUD,tv-and-music
106,3,2024-11-18,HARVEY NORMAN PERTH ;,,-350.0,AUD,homeware-and-appliances
107,3,2024-11-19,TRANSFER TO CREDIT CARD ;,,-250.0,AUD,transfer
108,3,2024-11-20,PAYMENT RECEIVED FROM CLIENT ;,Freelance Work,1700.0,AUD,direct-credit
109,3,2024-11-21,BOOST JUICE BRISBANE ;,,-10.0,AUD,restaurants-and-cafes
110,3,2024-11-22,PAYMENT RECEIVED FROM EMPLOYER ;,Salary,3200.0,AUD,direct-credit
111,3,2024-11-23,BOQ HOME LOAN PAYMENT ;,,-1300.0,AUD,transfer
